"County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Annual Earnings","2011","Co. Donegal","Professional, scientific and technical activities (M)","Euro","29028"
"Mean Annual Earnings","2011","Co. Donegal","Administrative and support service activities (N)","Euro","20531"
"Mean Annual Earnings","2011","Co. Donegal","Public administration and defence; compulsory social security (O)","Euro","42995"
"Mean Annual Earnings","2011","Co. Donegal","Education (P)","Euro","49420"
"Mean Annual Earnings","2011","Co. Donegal","Human health and social work activities (Q)","Euro","34697"
"Mean Annual Earnings","2011","Co. Donegal","Industry (B to E)","Euro","30591"
"Mean Annual Earnings","2011","Co. Donegal","Financial, insurance and real estate activities (K,L)","Euro","36663"
"Mean Annual Earnings","2011","Co. Donegal","Arts, entertainment, recreation and other service activities (R,S)","Euro","19030"
"Mean Annual Earnings","2011","Co. Dublin","All NACE economic sectors","Euro","44243"
"Mean Annual Earnings","2011","Co. Dublin","Construction (F)","Euro","42616"
"Mean Annual Earnings","2011","Co. Dublin","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","31579"
"Mean Annual Earnings","2011","Co. Dublin","Transportation and storage (H)","Euro","45087"
"Mean Annual Earnings","2011","Co. Dublin","Accommodation and food service activities (I)","Euro","21967"
"Mean Annual Earnings","2011","Co. Dublin","Information and communication (J)","Euro","62632"
"Mean Annual Earnings","2011","Co. Dublin","Professional, scientific and technical activities (M)","Euro","51389"
"Mean Annual Earnings","2011","Co. Dublin","Administrative and support service activities (N)","Euro","31395"
"Mean Annual Earnings","2011","Co. Dublin","Public administration and defence; compulsory social security (O)","Euro","51802"
"Mean Annual Earnings","2011","Co. Dublin","Education (P)","Euro","49371"
"Mean Annual Earnings","2011","Co. Dublin","Human health and social work activities (Q)","Euro","41543"
"Mean Annual Earnings","2011","Co. Dublin","Industry (B to E)","Euro","51213"
"Mean Annual Earnings","2011","Co. Dublin","Financial, insurance and real estate activities (K,L)","Euro","62874"
"Mean Annual Earnings","2011","Co. Dublin","Arts, entertainment, recreation and other service activities (R,S)","Euro","30601"
"Mean Annual Earnings","2011","Co. Galway","All NACE economic sectors","Euro","37499"
"Mean Annual Earnings","2011","Co. Galway","Construction (F)","Euro","35628"
"Mean Annual Earnings","2011","Co. Galway","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26869"
"Mean Annual Earnings","2011","Co. Galway","Transportation and storage (H)","Euro","34862"
"Mean Annual Earnings","2011","Co. Galway","Accommodation and food service activities (I)","Euro","20498"
"Mean Annual Earnings","2011","Co. Galway","Information and communication (J)","Euro","48745"
"Mean Annual Earnings","2011","Co. Galway","Professional, scientific and technical activities (M)","Euro","42341"
"Mean Annual Earnings","2011","Co. Galway","Administrative and support service activities (N)","Euro","26260"
"Mean Annual Earnings","2011","Co. Galway","Public administration and defence; compulsory social security (O)","Euro","43783"
"Mean Annual Earnings","2011","Co. Galway","Education (P)","Euro","50304"
"Mean Annual Earnings","2011","Co. Galway","Human health and social work activities (Q)","Euro","39173"
"Mean Annual Earnings","2011","Co. Galway","Industry (B to E)","Euro","40041"
"Mean Annual Earnings","2011","Co. Galway","Financial, insurance and real estate activities (K,L)","Euro","43620"
"Mean Annual Earnings","2011","Co. Galway","Arts, entertainment, recreation and other service activities (R,S)","Euro","24317"
"Mean Annual Earnings","2011","Co. Kildare","All NACE economic sectors","Euro","42084"
"Mean Annual Earnings","2011","Co. Kildare","Construction (F)","Euro","41861"
"Mean Annual Earnings","2011","Co. Kildare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","33092"
"Mean Annual Earnings","2011","Co. Kildare","Transportation and storage (H)","Euro","41018"
"Mean Annual Earnings","2011","Co. Kildare","Accommodation and food service activities (I)","Euro","20832"
"Mean Annual Earnings","2011","Co. Kildare","Information and communication (J)","Euro","60095"
"Mean Annual Earnings","2011","Co. Kildare","Professional, scientific and technical activities (M)","Euro","45787"
"Mean Annual Earnings","2011","Co. Kildare","Administrative and support service activities (N)","Euro","32034"
