"Statistic Label","Year","County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Median Weekly Earnings","2014","Co. Laois","Transportation and storage (H)","Euro","567.13"
"Median Weekly Earnings","2014","Co. Laois","Accommodation and food service activities (I)","Euro","258.54"
"Median Weekly Earnings","2014","Co. Laois","Information and communication (J)","Euro","823.71"
"Median Weekly Earnings","2014","Co. Laois","Professional, scientific and technical activities (M)","Euro","519.75"
"Median Weekly Earnings","2014","Co. Laois","Administrative and support service activities (N)","Euro","433.35"
"Median Weekly Earnings","2014","Co. Laois","Public administration and defence; compulsory social security (O)","Euro","887.34"
"Median Weekly Earnings","2014","Co. Laois","Education (P)","Euro","746.1"
"Median Weekly Earnings","2014","Co. Laois","Human health and social work activities (Q)","Euro","587.73"
"Median Weekly Earnings","2014","Co. Laois","Industry (B to E)","Euro","632.94"
"Median Weekly Earnings","2014","Co. Laois","Financial, insurance and real estate activities (K,L)","Euro","615.38"
"Median Weekly Earnings","2014","Co. Laois","Arts, entertainment, recreation and other service activities (R,S)","Euro","319.75"
"Median Weekly Earnings","2014","Co. Meath","All NACE economic sectors","Euro","561.67"
"Median Weekly Earnings","2014","Co. Meath","Construction (F)","Euro","598.44"
"Median Weekly Earnings","2014","Co. Meath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","421.07"
"Median Weekly Earnings","2014","Co. Meath","Transportation and storage (H)","Euro","652.23"
"Median Weekly Earnings","2014","Co. Meath","Accommodation and food service activities (I)","Euro","279.55"
"Median Weekly Earnings","2014","Co. Meath","Information and communication (J)","Euro","885.81"
"Median Weekly Earnings","2014","Co. Meath","Professional, scientific and technical activities (M)","Euro","603.08"
"Median Weekly Earnings","2014","Co. Meath","Administrative and support service activities (N)","Euro","443.99"
"Median Weekly Earnings","2014","Co. Meath","Public administration and defence; compulsory social security (O)","Euro","871.18"
"Median Weekly Earnings","2014","Co. Meath","Education (P)","Euro","740.43"
"Median Weekly Earnings","2014","Co. Meath","Human health and social work activities (Q)","Euro","564.35"
"Median Weekly Earnings","2014","Co. Meath","Industry (B to E)","Euro","659.04"
"Median Weekly Earnings","2014","Co. Meath","Financial, insurance and real estate activities (K,L)","Euro","744.54"
"Median Weekly Earnings","2014","Co. Meath","Arts, entertainment, recreation and other service activities (R,S)","Euro","340.62"
"Median Weekly Earnings","2014","Co. Monaghan","All NACE economic sectors","Euro","450.6"
"Median Weekly Earnings","2014","Co. Monaghan","Construction (F)","Euro","484.21"
"Median Weekly Earnings","2014","Co. Monaghan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","340.19"
"Median Weekly Earnings","2014","Co. Monaghan","Transportation and storage (H)","Euro","441.82"
"Median Weekly Earnings","2014","Co. Monaghan","Accommodation and food service activities (I)","Euro","215.38"
"Median Weekly Earnings","2014","Co. Monaghan","Information and communication (J)","Euro","634.04"
"Median Weekly Earnings","2014","Co. Monaghan","Professional, scientific and technical activities (M)","Euro","500"
"Median Weekly Earnings","2014","Co. Monaghan","Administrative and support service activities (N)","Euro","350"
"Median Weekly Earnings","2014","Co. Monaghan","Public administration and defence; compulsory social security (O)","Euro","806.96"
"Median Weekly Earnings","2014","Co. Monaghan","Education (P)","Euro","800.5"
"Median Weekly Earnings","2014","Co. Monaghan","Human health and social work activities (Q)","Euro","493.36"
"Median Weekly Earnings","2014","Co. Monaghan","Industry (B to E)","Euro","475.07"
"Median Weekly Earnings","2014","Co. Monaghan","Financial, insurance and real estate activities (K,L)","Euro","609.87"
"Median Weekly Earnings","2014","Co. Monaghan","Arts, entertainment, recreation and other service activities (R,S)","Euro","274.14"
"Median Weekly Earnings","2014","Co. Mayo","All NACE economic sectors","Euro","471.59"
"Median Weekly Earnings","2014","Co. Mayo","Construction (F)","Euro","540.88"
"Median Weekly Earnings","2014","Co. Mayo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","346"
"Median Weekly Earnings","2014","Co. Mayo","Transportation and storage (H)","Euro","503.9"
"Median Weekly Earnings","2014","Co. Mayo","Accommodation and food service activities (I)","Euro","256.45"
"Median Weekly Earnings","2014","Co. Mayo","Information and communication (J)","Euro","712"
"Median Weekly Earnings","2014","Co. Mayo","Professional, scientific and technical activities (M)","Euro","510.4"
"Median Weekly Earnings","2014","Co. Mayo","Administrative and support service activities (N)","Euro","449.87"
"Median Weekly Earnings","2014","Co. Mayo","Public administration and defence; compulsory social security (O)","Euro","758.27"
"Median Weekly Earnings","2014","Co. Mayo","Education (P)","Euro","779.85"
"Median Weekly Earnings","2014","Co. Mayo","Human health and social work activities (Q)","Euro","496.81"
"Median Weekly Earnings","2014","Co. Mayo","Industry (B to E)","Euro","616.33"
"Median Weekly Earnings","2014","Co. Mayo","Financial, insurance and real estate activities (K,L)","Euro","622"
"Median Weekly Earnings","2014","Co. Mayo","Arts, entertainment, recreation and other service activities (R,S)","Euro","277.34"
"Median Weekly Earnings","2014","Co. Offaly","All NACE economic sectors","Euro","511.63"
"Median Weekly Earnings","2014","Co. Offaly","Construction (F)","Euro","542.36"
"Median Weekly Earnings","2014","Co. Offaly","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","366.67"
"Median Weekly Earnings","2014","Co. Offaly","Transportation and storage (H)","Euro","512.85"
"Median Weekly Earnings","2014","Co. Offaly","Accommodation and food service activities (I)","Euro","240.57"
"Median Weekly Earnings","2014","Co. Offaly","Information and communication (J)","Euro","797.59"
"Median Weekly Earnings","2014","Co. Offaly","Professional, scientific and technical activities (M)","Euro","500"
"Median Weekly Earnings","2014","Co. Offaly","Administrative and support service activities (N)","Euro","436.23"
"Median Weekly Earnings","2014","Co. Offaly","Public administration and defence; compulsory social security (O)","Euro","786.4"
"Median Weekly Earnings","2014","Co. Offaly","Education (P)","Euro","714.84"
"Median Weekly Earnings","2014","Co. Offaly","Human health and social work activities (Q)","Euro","567.41"
"Median Weekly Earnings","2014","Co. Offaly","Industry (B to E)","Euro","578.42"
"Median Weekly Earnings","2014","Co. Offaly","Financial, insurance and real estate activities (K,L)","Euro","623.5"
"Median Weekly Earnings","2014","Co. Offaly","Arts, entertainment, recreation and other service activities (R,S)","Euro","283.49"
"Median Weekly Earnings","2014","Co. Roscommon","All NACE economic sectors","Euro","504.01"
"Median Weekly Earnings","2014","Co. Roscommon","Construction (F)","Euro","494.59"
"Median Weekly Earnings","2014","Co. Roscommon","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","349.93"
"Median Weekly Earnings","2014","Co. Roscommon","Transportation and storage (H)","Euro","514.25"
"Median Weekly Earnings","2014","Co. Roscommon","Accommodation and food service activities (I)","Euro","236.71"
"Median Weekly Earnings","2014","Co. Roscommon","Information and communication (J)","Euro","790.1"
"Median Weekly Earnings","2014","Co. Roscommon","Professional, scientific and technical activities (M)","Euro","502"
"Median Weekly Earnings","2014","Co. Roscommon","Administrative and support service activities (N)","Euro","442.23"
"Median Weekly Earnings","2014","Co. Roscommon","Public administration and defence; compulsory social security (O)","Euro","783.71"
"Median Weekly Earnings","2014","Co. Roscommon","Education (P)","Euro","779.85"
"Median Weekly Earnings","2014","Co. Roscommon","Human health and social work activities (Q)","Euro","489.64"
"Median Weekly Earnings","2014","Co. Roscommon","Industry (B to E)","Euro","596.13"
"Median Weekly Earnings","2014","Co. Roscommon","Financial, insurance and real estate activities (K,L)","Euro","636.31"
"Median Weekly Earnings","2014","Co. Roscommon","Arts, entertainment, recreation and other service activities (R,S)","Euro","291.02"
"Median Weekly Earnings","2014","Co. Sligo","All NACE economic sectors","Euro","506.97"
"Median Weekly Earnings","2014","Co. Sligo","Construction (F)","Euro","470.7"
"Median Weekly Earnings","2014","Co. Sligo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","353.23"
"Median Weekly Earnings","2014","Co. Sligo","Transportation and storage (H)","Euro","504.03"
"Median Weekly Earnings","2014","Co. Sligo","Accommodation and food service activities (I)","Euro","255.85"
"Median Weekly Earnings","2014","Co. Sligo","Information and communication (J)","Euro","684.48"
"Median Weekly Earnings","2014","Co. Sligo","Professional, scientific and technical activities (M)","Euro","485.69"
"Median Weekly Earnings","2014","Co. Sligo","Administrative and support service activities (N)","Euro","418.21"
"Median Weekly Earnings","2014","Co. Sligo","Public administration and defence; compulsory social security (O)","Euro","775.14"
"Median Weekly Earnings","2014","Co. Sligo","Education (P)","Euro","758.67"
"Median Weekly Earnings","2014","Co. Sligo","Human health and social work activities (Q)","Euro","614.96"
"Median Weekly Earnings","2014","Co. Sligo","Industry (B to E)","Euro","637.03"
"Median Weekly Earnings","2014","Co. Sligo","Financial, insurance and real estate activities (K,L)","Euro","644.4"
"Median Weekly Earnings","2014","Co. Sligo","Arts, entertainment, recreation and other service activities (R,S)","Euro","252.45"
"Median Weekly Earnings","2014","Co. Tipperary","All NACE economic sectors","Euro","503.79"
"Median Weekly Earnings","2014","Co. Tipperary","Construction (F)","Euro","511.72"
"Median Weekly Earnings","2014","Co. Tipperary","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","366.69"
"Median Weekly Earnings","2014","Co. Tipperary","Transportation and storage (H)","Euro","485.54"
"Median Weekly Earnings","2014","Co. Tipperary","Accommodation and food service activities (I)","Euro","240.98"
"Median Weekly Earnings","2014","Co. Tipperary","Information and communication (J)","Euro","601.15"
"Median Weekly Earnings","2014","Co. Tipperary","Professional, scientific and technical activities (M)","Euro","552.5"
"Median Weekly Earnings","2014","Co. Tipperary","Administrative and support service activities (N)","Euro","428.96"
"Median Weekly Earnings","2014","Co. Tipperary","Public administration and defence; compulsory social security (O)","Euro","755.47"
"Median Weekly Earnings","2014","Co. Tipperary","Education (P)","Euro","740.49"
"Median Weekly Earnings","2014","Co. Tipperary","Human health and social work activities (Q)","Euro","483.51"
"Median Weekly Earnings","2014","Co. Tipperary","Industry (B to E)","Euro","620.07"
"Median Weekly Earnings","2014","Co. Tipperary","Financial, insurance and real estate activities (K,L)","Euro","656.32"
"Median Weekly Earnings","2014","Co. Tipperary","Arts, entertainment, recreation and other service activities (R,S)","Euro","301.21"
"Median Weekly Earnings","2014","Co. Waterford","All NACE economic sectors","Euro","495.4"
"Median Weekly Earnings","2014","Co. Waterford","Construction (F)","Euro","520"
"Median Weekly Earnings","2014","Co. Waterford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","382.66"
"Median Weekly Earnings","2014","Co. Waterford","Transportation and storage (H)","Euro","533.5"
"Median Weekly Earnings","2014","Co. Waterford","Accommodation and food service activities (I)","Euro","250.07"
"Median Weekly Earnings","2014","Co. Waterford","Information and communication (J)","Euro","649.09"
"Median Weekly Earnings","2014","Co. Waterford","Professional, scientific and technical activities (M)","Euro","525.84"
"Median Weekly Earnings","2014","Co. Waterford","Administrative and support service activities (N)","Euro","362.45"
"Median Weekly Earnings","2014","Co. Waterford","Public administration and defence; compulsory social security (O)","Euro","783.59"
"Median Weekly Earnings","2014","Co. Waterford","Education (P)","Euro","729.97"
"Median Weekly Earnings","2014","Co. Waterford","Human health and social work activities (Q)","Euro","540.63"
"Median Weekly Earnings","2014","Co. Waterford","Industry (B to E)","Euro","730.35"
"Median Weekly Earnings","2014","Co. Waterford","Financial, insurance and real estate activities (K,L)","Euro","590.48"
"Median Weekly Earnings","2014","Co. Waterford","Arts, entertainment, recreation and other service activities (R,S)","Euro","267.56"
"Median Weekly Earnings","2014","Co. Wicklow","All NACE economic sectors","Euro","536.88"
"Median Weekly Earnings","2014","Co. Wicklow","Construction (F)","Euro","545.93"
"Median Weekly Earnings","2014","Co. Wicklow","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","412.38"
"Median Weekly Earnings","2014","Co. Wicklow","Transportation and storage (H)","Euro","672.81"
"Median Weekly Earnings","2014","Co. Wicklow","Accommodation and food service activities (I)","Euro","287.62"
"Median Weekly Earnings","2014","Co. Wicklow","Information and communication (J)","Euro","972.81"
"Median Weekly Earnings","2014","Co. Wicklow","Professional, scientific and technical activities (M)","Euro","627.25"
"Median Weekly Earnings","2014","Co. Wicklow","Administrative and support service activities (N)","Euro","474.06"
"Median Weekly Earnings","2014","Co. Wicklow","Public administration and defence; compulsory social security (O)","Euro","867.6"
"Median Weekly Earnings","2014","Co. Wicklow","Education (P)","Euro","664.38"
"Median Weekly Earnings","2014","Co. Wicklow","Human health and social work activities (Q)","Euro","507.84"
"Median Weekly Earnings","2014","Co. Wicklow","Industry (B to E)","Euro","670.82"
"Median Weekly Earnings","2014","Co. Wicklow","Financial, insurance and real estate activities (K,L)","Euro","796.37"
"Median Weekly Earnings","2014","Co. Wicklow","Arts, entertainment, recreation and other service activities (R,S)","Euro","330.79"
"Median Weekly Earnings","2014","Co. Westmeath","All NACE economic sectors","Euro","522.79"
"Median Weekly Earnings","2014","Co. Westmeath","Construction (F)","Euro","548.67"
"Median Weekly Earnings","2014","Co. Westmeath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","375.1"
"Median Weekly Earnings","2014","Co. Westmeath","Transportation and storage (H)","Euro","538.44"
"Median Weekly Earnings","2014","Co. Westmeath","Accommodation and food service activities (I)","Euro","252.24"
"Median Weekly Earnings","2014","Co. Westmeath","Information and communication (J)","Euro","928.11"
"Median Weekly Earnings","2014","Co. Westmeath","Professional, scientific and technical activities (M)","Euro","519.45"
"Median Weekly Earnings","2014","Co. Westmeath","Administrative and support service activities (N)","Euro","420.13"
"Median Weekly Earnings","2014","Co. Westmeath","Public administration and defence; compulsory social security (O)","Euro","784.28"
"Median Weekly Earnings","2014","Co. Westmeath","Education (P)","Euro","734.02"
"Median Weekly Earnings","2014","Co. Westmeath","Human health and social work activities (Q)","Euro","572.95"
"Median Weekly Earnings","2014","Co. Westmeath","Industry (B to E)","Euro","606.42"
"Median Weekly Earnings","2014","Co. Westmeath","Financial, insurance and real estate activities (K,L)","Euro","623.85"
"Median Weekly Earnings","2014","Co. Westmeath","Arts, entertainment, recreation and other service activities (R,S)","Euro","296.25"
"Median Weekly Earnings","2014","Co. Wexford","All NACE economic sectors","Euro","466.55"
"Median Weekly Earnings","2014","Co. Wexford","Construction (F)","Euro","503.23"
"Median Weekly Earnings","2014","Co. Wexford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","360.7"
"Median Weekly Earnings","2014","Co. Wexford","Transportation and storage (H)","Euro","465.72"
"Median Weekly Earnings","2014","Co. Wexford","Accommodation and food service activities (I)","Euro","256.57"
"Median Weekly Earnings","2014","Co. Wexford","Information and communication (J)","Euro","702.49"
"Median Weekly Earnings","2014","Co. Wexford","Professional, scientific and technical activities (M)","Euro","497.71"
"Median Weekly Earnings","2014","Co. Wexford","Administrative and support service activities (N)","Euro","396.48"
"Median Weekly Earnings","2014","Co. Wexford","Public administration and defence; compulsory social security (O)","Euro","758.19"
"Median Weekly Earnings","2014","Co. Wexford","Education (P)","Euro","718.62"
"Median Weekly Earnings","2014","Co. Wexford","Human health and social work activities (Q)","Euro","459"
"Median Weekly Earnings","2014","Co. Wexford","Industry (B to E)","Euro","562.69"
"Median Weekly Earnings","2014","Co. Wexford","Financial, insurance and real estate activities (K,L)","Euro","632.81"
"Median Weekly Earnings","2014","Co. Wexford","Arts, entertainment, recreation and other service activities (R,S)","Euro","339.83"
"Median Weekly Earnings","2014","Ireland","All NACE economic sectors","Euro","530.21"
"Median Weekly Earnings","2014","Ireland","Construction (F)","Euro","553.62"
"Median Weekly Earnings","2014","Ireland","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","392.87"
"Median Weekly Earnings","2014","Ireland","Transportation and storage (H)","Euro","580.6"
"Median Weekly Earnings","2014","Ireland","Accommodation and food service activities (I)","Euro","286.67"
"Median Weekly Earnings","2014","Ireland","Information and communication (J)","Euro","883.77"
"Median Weekly Earnings","2014","Ireland","Professional, scientific and technical activities (M)","Euro","600.8"
"Median Weekly Earnings","2014","Ireland","Administrative and support service activities (N)","Euro","422.19"
"Median Weekly Earnings","2014","Ireland","Public administration and defence; compulsory social security (O)","Euro","821.96"
"Median Weekly Earnings","2014","Ireland","Education (P)","Euro","713.89"
"Median Weekly Earnings","2014","Ireland","Human health and social work activities (Q)","Euro","559.4"
"Median Weekly Earnings","2014","Ireland","Industry (B to E)","Euro","655.75"
"Median Weekly Earnings","2014","Ireland","Financial, insurance and real estate activities (K,L)","Euro","744.23"
"Median Weekly Earnings","2014","Ireland","Arts, entertainment, recreation and other service activities (R,S)","Euro","326.6"
"Median Weekly Earnings","2015","Co. Clare","All NACE economic sectors","Euro","523.68"
"Median Weekly Earnings","2015","Co. Clare","Construction (F)","Euro","557.9"
"Median Weekly Earnings","2015","Co. Clare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","356.31"
"Median Weekly Earnings","2015","Co. Clare","Transportation and storage (H)","Euro","642.29"
"Median Weekly Earnings","2015","Co. Clare","Accommodation and food service activities (I)","Euro","290.6"
"Median Weekly Earnings","2015","Co. Clare","Information and communication (J)","Euro","769.21"
"Median Weekly Earnings","2015","Co. Clare","Professional, scientific and technical activities (M)","Euro","580.26"
"Median Weekly Earnings","2015","Co. Clare","Administrative and support service activities (N)","Euro","473.34"
"Median Weekly Earnings","2015","Co. Clare","Public administration and defence; compulsory social security (O)","Euro","768.66"
"Median Weekly Earnings","2015","Co. Clare","Education (P)","Euro","762.17"
"Median Weekly Earnings","2015","Co. Clare","Human health and social work activities (Q)","Euro","508.64"
"Median Weekly Earnings","2015","Co. Clare","Industry (B to E)","Euro","712.85"
"Median Weekly Earnings","2015","Co. Clare","Financial, insurance and real estate activities (K,L)","Euro","644.13"
"Median Weekly Earnings","2015","Co. Clare","Arts, entertainment, recreation and other service activities (R,S)","Euro","291.22"
"Median Weekly Earnings","2015","Co. Cork","All NACE economic sectors","Euro","543.27"
"Median Weekly Earnings","2015","Co. Cork","Construction (F)","Euro","575.24"
"Median Weekly Earnings","2015","Co. Cork","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","421.91"
"Median Weekly Earnings","2015","Co. Cork","Transportation and storage (H)","Euro","557.56"
"Median Weekly Earnings","2015","Co. Cork","Accommodation and food service activities (I)","Euro","274.18"
"Median Weekly Earnings","2015","Co. Cork","Information and communication (J)","Euro","774.75"
"Median Weekly Earnings","2015","Co. Cork","Professional, scientific and technical activities (M)","Euro","592.13"
"Median Weekly Earnings","2015","Co. Cork","Administrative and support service activities (N)","Euro","437.1"
"Median Weekly Earnings","2015","Co. Cork","Public administration and defence; compulsory social security (O)","Euro","815.6"
"Median Weekly Earnings","2015","Co. Cork","Education (P)","Euro","708.65"
"Median Weekly Earnings","2015","Co. Cork","Human health and social work activities (Q)","Euro","551.83"
"Median Weekly Earnings","2015","Co. Cork","Industry (B to E)","Euro","790.88"
"Median Weekly Earnings","2015","Co. Cork","Financial, insurance and real estate activities (K,L)","Euro","663.86"
"Median Weekly Earnings","2015","Co. Cork","Arts, entertainment, recreation and other service activities (R,S)","Euro","306.12"
"Median Weekly Earnings","2015","Co. Cavan","All NACE economic sectors","Euro","499.98"
"Median Weekly Earnings","2015","Co. Cavan","Construction (F)","Euro","544.18"
"Median Weekly Earnings","2015","Co. Cavan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","361.62"
"Median Weekly Earnings","2015","Co. Cavan","Transportation and storage (H)","Euro","480.43"
"Median Weekly Earnings","2015","Co. Cavan","Accommodation and food service activities (I)","Euro","259.1"
"Median Weekly Earnings","2015","Co. Cavan","Information and communication (J)","Euro","697.69"
"Median Weekly Earnings","2015","Co. Cavan","Professional, scientific and technical activities (M)","Euro","515.66"
"Median Weekly Earnings","2015","Co. Cavan","Administrative and support service activities (N)","Euro","398.26"
"Median Weekly Earnings","2015","Co. Cavan","Public administration and defence; compulsory social security (O)","Euro","796.25"
"Median Weekly Earnings","2015","Co. Cavan","Education (P)","Euro","752.42"
"Median Weekly Earnings","2015","Co. Cavan","Human health and social work activities (Q)","Euro","543.87"
"Median Weekly Earnings","2015","Co. Cavan","Industry (B to E)","Euro","562.51"
"Median Weekly Earnings","2015","Co. Cavan","Financial, insurance and real estate activities (K,L)","Euro","635.59"
"Median Weekly Earnings","2015","Co. Cavan","Arts, entertainment, recreation and other service activities (R,S)","Euro","267.59"
"Median Weekly Earnings","2015","Co. Carlow","All NACE economic sectors","Euro","499.66"
"Median Weekly Earnings","2015","Co. Carlow","Construction (F)","Euro","574.82"
"Median Weekly Earnings","2015","Co. Carlow","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","365.82"
"Median Weekly Earnings","2015","Co. Carlow","Transportation and storage (H)","Euro","466.75"
"Median Weekly Earnings","2015","Co. Carlow","Accommodation and food service activities (I)","Euro","267.67"
"Median Weekly Earnings","2015","Co. Carlow","Information and communication (J)","Euro","740.18"
"Median Weekly Earnings","2015","Co. Carlow","Professional, scientific and technical activities (M)","Euro","556.19"
"Median Weekly Earnings","2015","Co. Carlow","Administrative and support service activities (N)","Euro","469.47"
"Median Weekly Earnings","2015","Co. Carlow","Public administration and defence; compulsory social security (O)","Euro","800.46"
"Median Weekly Earnings","2015","Co. Carlow","Education (P)","Euro","704"
"Median Weekly Earnings","2015","Co. Carlow","Human health and social work activities (Q)","Euro","460.63"
"Median Weekly Earnings","2015","Co. Carlow","Industry (B to E)","Euro","578.77"
"Median Weekly Earnings","2015","Co. Carlow","Financial, insurance and real estate activities (K,L)","Euro","670.12"
"Median Weekly Earnings","2015","Co. Carlow","Arts, entertainment, recreation and other service activities (R,S)","Euro","306.29"
"Median Weekly Earnings","2015","Co. Donegal","All NACE economic sectors","Euro","417.54"
"Median Weekly Earnings","2015","Co. Donegal","Construction (F)","Euro","417.81"
"Median Weekly Earnings","2015","Co. Donegal","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","309.14"
"Median Weekly Earnings","2015","Co. Donegal","Transportation and storage (H)","Euro","409.69"
"Median Weekly Earnings","2015","Co. Donegal","Accommodation and food service activities (I)","Euro","209.65"
"Median Weekly Earnings","2015","Co. Donegal","Information and communication (J)","Euro","626.49"
"Median Weekly Earnings","2015","Co. Donegal","Professional, scientific and technical activities (M)","Euro","456.46"
"Median Weekly Earnings","2015","Co. Donegal","Administrative and support service activities (N)","Euro","361.46"
"Median Weekly Earnings","2015","Co. Donegal","Public administration and defence; compulsory social security (O)","Euro","753.88"
"Median Weekly Earnings","2015","Co. Donegal","Education (P)","Euro","732.12"
"Median Weekly Earnings","2015","Co. Donegal","Human health and social work activities (Q)","Euro","534.16"
"Median Weekly Earnings","2015","Co. Donegal","Industry (B to E)","Euro","469.21"
"Median Weekly Earnings","2015","Co. Donegal","Financial, insurance and real estate activities (K,L)","Euro","565.79"
"Median Weekly Earnings","2015","Co. Donegal","Arts, entertainment, recreation and other service activities (R,S)","Euro","234.69"
"Median Weekly Earnings","2015","Co. Dublin","All NACE economic sectors","Euro","576.6"
"Median Weekly Earnings","2015","Co. Dublin","Construction (F)","Euro","601.68"
"Median Weekly Earnings","2015","Co. Dublin","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","432.1"
"Median Weekly Earnings","2015","Co. Dublin","Transportation and storage (H)","Euro","693.98"
"Median Weekly Earnings","2015","Co. Dublin","Accommodation and food service activities (I)","Euro","327.51"
"Median Weekly Earnings","2015","Co. Dublin","Information and communication (J)","Euro","996.69"
"Median Weekly Earnings","2015","Co. Dublin","Professional, scientific and technical activities (M)","Euro","713.18"
"Median Weekly Earnings","2015","Co. Dublin","Administrative and support service activities (N)","Euro","433.79"
"Median Weekly Earnings","2015","Co. Dublin","Public administration and defence; compulsory social security (O)","Euro","886.13"
"Median Weekly Earnings","2015","Co. Dublin","Education (P)","Euro","660.5"
"Median Weekly Earnings","2015","Co. Dublin","Human health and social work activities (Q)","Euro","601.38"
"Median Weekly Earnings","2015","Co. Dublin","Industry (B to E)","Euro","719.87"
"Median Weekly Earnings","2015","Co. Dublin","Financial, insurance and real estate activities (K,L)","Euro","865.13"
"Median Weekly Earnings","2015","Co. Dublin","Arts, entertainment, recreation and other service activities (R,S)","Euro","369.68"
"Median Weekly Earnings","2015","Co. Galway","All NACE economic sectors","Euro","525.19"
"Median Weekly Earnings","2015","Co. Galway","Construction (F)","Euro","512.48"
"Median Weekly Earnings","2015","Co. Galway","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","400"
"Median Weekly Earnings","2015","Co. Galway","Transportation and storage (H)","Euro","480.67"
"Median Weekly Earnings","2015","Co. Galway","Accommodation and food service activities (I)","Euro","302.48"
"Median Weekly Earnings","2015","Co. Galway","Information and communication (J)","Euro","799.53"
"Median Weekly Earnings","2015","Co. Galway","Professional, scientific and technical activities (M)","Euro","594.8"
"Median Weekly Earnings","2015","Co. Galway","Administrative and support service activities (N)","Euro","459.29"
"Median Weekly Earnings","2015","Co. Galway","Public administration and defence; compulsory social security (O)","Euro","761.45"
"Median Weekly Earnings","2015","Co. Galway","Education (P)","Euro","749.18"
"Median Weekly Earnings","2015","Co. Galway","Human health and social work activities (Q)","Euro","569.88"
"Median Weekly Earnings","2015","Co. Galway","Industry (B to E)","Euro","637.79"
"Median Weekly Earnings","2015","Co. Galway","Financial, insurance and real estate activities (K,L)","Euro","609.97"
"Median Weekly Earnings","2015","Co. Galway","Arts, entertainment, recreation and other service activities (R,S)","Euro","318.01"
"Median Weekly Earnings","2015","Co. Kildare","All NACE economic sectors","Euro","576.9"
"Median Weekly Earnings","2015","Co. Kildare","Construction (F)","Euro","609.03"
"Median Weekly Earnings","2015","Co. Kildare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","447.76"
"Median Weekly Earnings","2015","Co. Kildare","Transportation and storage (H)","Euro","596.05"
"Median Weekly Earnings","2015","Co. Kildare","Accommodation and food service activities (I)","Euro","294.86"
"Median Weekly Earnings","2015","Co. Kildare","Information and communication (J)","Euro","963.92"
"Median Weekly Earnings","2015","Co. Kildare","Professional, scientific and technical activities (M)","Euro","668.56"
"Median Weekly Earnings","2015","Co. Kildare","Administrative and support service activities (N)","Euro","432.78"
"Median Weekly Earnings","2015","Co. Kildare","Public administration and defence; compulsory social security (O)","Euro","881.78"
"Median Weekly Earnings","2015","Co. Kildare","Education (P)","Euro","714.13"
"Median Weekly Earnings","2015","Co. Kildare","Human health and social work activities (Q)","Euro","571.9"
"Median Weekly Earnings","2015","Co. Kildare","Industry (B to E)","Euro","736.08"
"Median Weekly Earnings","2015","Co. Kildare","Financial, insurance and real estate activities (K,L)","Euro","785.39"
"Median Weekly Earnings","2015","Co. Kildare","Arts, entertainment, recreation and other service activities (R,S)","Euro","352"
"Median Weekly Earnings","2015","Co. Kilkenny","All NACE economic sectors","Euro","531.11"
"Median Weekly Earnings","2015","Co. Kilkenny","Construction (F)","Euro","580.11"
"Median Weekly Earnings","2015","Co. Kilkenny","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","395.56"
"Median Weekly Earnings","2015","Co. Kilkenny","Transportation and storage (H)","Euro","505.9"
"Median Weekly Earnings","2015","Co. Kilkenny","Accommodation and food service activities (I)","Euro","277.87"
"Median Weekly Earnings","2015","Co. Kilkenny","Information and communication (J)","Euro","659.14"
"Median Weekly Earnings","2015","Co. Kilkenny","Professional, scientific and technical activities (M)","Euro","576.91"
"Median Weekly Earnings","2015","Co. Kilkenny","Administrative and support service activities (N)","Euro","416.37"
"Median Weekly Earnings","2015","Co. Kilkenny","Public administration and defence; compulsory social security (O)","Euro","785.49"
"Median Weekly Earnings","2015","Co. Kilkenny","Education (P)","Euro","719.79"
"Median Weekly Earnings","2015","Co. Kilkenny","Human health and social work activities (Q)","Euro","572.5"
"Median Weekly Earnings","2015","Co. Kilkenny","Industry (B to E)","Euro","673.05"
