"Statistic Label","Year","County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Median Weekly Earnings","2011","Co. Donegal","Accommodation and food service activities (I)","Euro","202.19"
"Median Weekly Earnings","2011","Co. Donegal","Information and communication (J)","Euro","642.19"
"Median Weekly Earnings","2011","Co. Donegal","Professional, scientific and technical activities (M)","Euro","431.41"
"Median Weekly Earnings","2011","Co. Donegal","Administrative and support service activities (N)","Euro","294.25"
"Median Weekly Earnings","2011","Co. Donegal","Public administration and defence; compulsory social security (O)","Euro","770.79"
"Median Weekly Earnings","2011","Co. Donegal","Education (P)","Euro","791.65"
"Median Weekly Earnings","2011","Co. Donegal","Human health and social work activities (Q)","Euro","549.53"
"Median Weekly Earnings","2011","Co. Donegal","Industry (B to E)","Euro","449.95"
"Median Weekly Earnings","2011","Co. Donegal","Financial, insurance and real estate activities (K,L)","Euro","535.63"
"Median Weekly Earnings","2011","Co. Donegal","Arts, entertainment, recreation and other service activities (R,S)","Euro","240.74"
"Median Weekly Earnings","2011","Co. Dublin","All NACE economic sectors","Euro","579.3"
"Median Weekly Earnings","2011","Co. Dublin","Construction (F)","Euro","620.76"
"Median Weekly Earnings","2011","Co. Dublin","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","423.31"
"Median Weekly Earnings","2011","Co. Dublin","Transportation and storage (H)","Euro","710.8"
"Median Weekly Earnings","2011","Co. Dublin","Accommodation and food service activities (I)","Euro","328.08"
"Median Weekly Earnings","2011","Co. Dublin","Information and communication (J)","Euro","916.22"
"Median Weekly Earnings","2011","Co. Dublin","Professional, scientific and technical activities (M)","Euro","665.19"
"Median Weekly Earnings","2011","Co. Dublin","Administrative and support service activities (N)","Euro","414.51"
"Median Weekly Earnings","2011","Co. Dublin","Public administration and defence; compulsory social security (O)","Euro","871.86"
"Median Weekly Earnings","2011","Co. Dublin","Education (P)","Euro","676.91"
"Median Weekly Earnings","2011","Co. Dublin","Human health and social work activities (Q)","Euro","640.08"
"Median Weekly Earnings","2011","Co. Dublin","Industry (B to E)","Euro","718.2"
"Median Weekly Earnings","2011","Co. Dublin","Financial, insurance and real estate activities (K,L)","Euro","830.3"
"Median Weekly Earnings","2011","Co. Dublin","Arts, entertainment, recreation and other service activities (R,S)","Euro","382.15"
"Median Weekly Earnings","2011","Co. Galway","All NACE economic sectors","Euro","523.51"
"Median Weekly Earnings","2011","Co. Galway","Construction (F)","Euro","508.78"
"Median Weekly Earnings","2011","Co. Galway","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","370.03"
"Median Weekly Earnings","2011","Co. Galway","Transportation and storage (H)","Euro","480"
"Median Weekly Earnings","2011","Co. Galway","Accommodation and food service activities (I)","Euro","303.7"
"Median Weekly Earnings","2011","Co. Galway","Information and communication (J)","Euro","761.46"
"Median Weekly Earnings","2011","Co. Galway","Professional, scientific and technical activities (M)","Euro","554.32"
"Median Weekly Earnings","2011","Co. Galway","Administrative and support service activities (N)","Euro","429.88"
"Median Weekly Earnings","2011","Co. Galway","Public administration and defence; compulsory social security (O)","Euro","746.24"
"Median Weekly Earnings","2011","Co. Galway","Education (P)","Euro","782.76"
"Median Weekly Earnings","2011","Co. Galway","Human health and social work activities (Q)","Euro","618.86"
"Median Weekly Earnings","2011","Co. Galway","Industry (B to E)","Euro","627.21"
"Median Weekly Earnings","2011","Co. Galway","Financial, insurance and real estate activities (K,L)","Euro","659.23"
"Median Weekly Earnings","2011","Co. Galway","Arts, entertainment, recreation and other service activities (R,S)","Euro","319.96"
"Median Weekly Earnings","2011","Co. Kildare","All NACE economic sectors","Euro","577.42"
"Median Weekly Earnings","2011","Co. Kildare","Construction (F)","Euro","618.36"
"Median Weekly Earnings","2011","Co. Kildare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","445.14"
"Median Weekly Earnings","2011","Co. Kildare","Transportation and storage (H)","Euro","612.93"
"Median Weekly Earnings","2011","Co. Kildare","Accommodation and food service activities (I)","Euro","303.05"
"Median Weekly Earnings","2011","Co. Kildare","Information and communication (J)","Euro","924.21"
"Median Weekly Earnings","2011","Co. Kildare","Professional, scientific and technical activities (M)","Euro","628.37"
"Median Weekly Earnings","2011","Co. Kildare","Administrative and support service activities (N)","Euro","413.44"
